Company Name,Sector,Funding Stage,Amount,Headquarters,Description,Funding Year,Year Founded,Founders,Investors
Embibe,Edtech,,12618300,Mumbai,It provides AI-based data analytics to personalise learning outcomes,2020,nan,Aditi Avasthi,Reliance Industries Limited (RIL)
Entri,Edtech,Seed Round,1400000,Kochi,It is a app that provides different types of learning content in local languages,2020,2017,"Mohammed Hisamuddin, Rahul Ramesh",Good Capital
Oye! Rickshaw,E-mobility,Series A,10000000,nan,App-based electric rickshaw hailing service,2020,nan,Akash Deep,Chiratae Ventures
Seal Professional,Edtech,Pre series A,0,Bangalore,Trains students in managemnt and leadership skills and also helps in placement,2020,2012,,Equanimity Ventures
Sprinng Foods,Food,,0,Mumbai,Provides Gluten-free food,2020,nan,Tarun Khanna,"Mistletoe, Info Edge Asia"
1MG,Healthtech,,9900000,Gurugram,Online pharmacy,2020,2015,"Prashant Tandon, Gaurav Agarwal, Vikas Chauhan",Bill & Melinda Gates Foundation
Aagey,Fintech,,0,Bangalore,Provides financial assistance to MSMEs,2020,nan,Akaash Shankar,"JITO Angel Network, Ketan Kothari, Girish Jain, Sunil Singhvi, Vinay Jain"
Doubtnut,Edtech,Series A,15000000,Gurugram,Multi-lingual digital solutions platform for students,2020,2017,"Tanushri Nagori, Aditya Shankar",Tencent
AdonMo,Ad-tech,,3000000,Bangalore,It is an online and outdoor advertising company,2020,2017,"Sandeep Bommireddi, Sravanth Gajula",Ant Financial
RACEnergy,E-mobility,Seed Round,0,nan,It builds electric vehicles and supporting infrastructure,2020,2018,"Arun Sreyas, Gautham Maheswaran","GrowX ventures, Prophetic Ventures"
BharatPe,Fintech,,100000000,Delhi,Digital payments platform,2020,2018,Ashneer Grover,Coatue Management
Kisan Network,Agritech,Seed Round,3000000,Gurugram,Integrated supply chain for farmers to sell their produce directly to buyers,2020,2015,"Aditya Agarwalla, Sanjay Agarwalla",Atsushi Taira
Vogo,Automotive,Series C,35000000,Bangalore,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,2020,2016,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada
Yolo,Transport,Seed Round,600000,Gurugram,Intercity transportation startup,2020,2019,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed
Unotech,SaaS,,2000000,Mumbai,It develops fully-customisable open source software,2020,2011,Vikash Jha,Manish Choksi
Zetwerk,Marketplace,,2200000,Bangalore,B2B marketplace that connects manufacturing companies for industrial equipements,2020,2018,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",InnoVen capital
CureSkin,Healthtech,,500000,Bangalore,Provides a treatment solution for skincare and hair fall issues with an artificial intelligence-enabled solution,2020,2017,"Guna Kakulapati, Rama Rajanna, Charu Sharma",SenseAI Ventures
WizKlub,Edtech,Seed Funding,982530,Bangalore,Helps students solve problems at complex level,2020,2018,Amit Bansal,Incubate Fund India
Interviewbit,Edtech,Series A,200000000,Pune,Platform that provides coding and interview preparation course by industry professionals from tech companies,2020,2014,Abhimanyu Saxena,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)"
MoneyTap,Fintech,Series B,70185200,nan,App-based consumer credit line that gives customers access to credit on tap.,2020,2016,"Bala Parthasarathy, Anuj Kacker, Kunal Varma","Aquiline Technology Growth (ATG), RTP Global, Sequoia India"
Uniplatform Tech,SaaS,,0,Delhi,Runs real estate SaaS platform MultiplyMyLeads.com.,2020,2015,"Rohit Manghnani, Amit K Jaiswal, Iccha Manghnani","Frontline Strategy Finds, SucSEED Venture Partners LLP"
INdwealth,Fintech,Series C,12000000,Gurugram,An Artificial Intelligence and Machine learning based wealth management platform,2020,nan,Ashish Kashyap,"Tiger Global, Steadview Capital, DF International Private Partners"
Bizongo,Marketplace,Series C,30000000,Mumbai,A B2B marketplace for packaging materials,2020,2015,"Sachin Agarwal, Aniket Deb, Ankit Tomar",Schroder Adveq
AppsFlyer,SaaS,Series D,210000000,Bangalore,Mobile marketing analytics and attribution platform,2020,2011,"Oren Kaniel, Reshef Mann",General Atlantic
Digit Insurance,Insurtech,,84000000,Bangalore,General Insurance Company,2020,nan,Kamesh Goyal,"A91 Partners, Faering Capital, TVS Capital"
Livspace,Interior Design,Series D,60000000,Bangalore,It offers end-to-end home design experience for homeowners and home designers,2020,2014,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Tahoe Investment Group, Mercer Investment"
GetVantage,Fintech,Seed Round,0,Mumbai,Revenue based finance provider,2020,nan,Bhavik Vasa,"Samyakth Capital, Venture Catalysts"
Konfinity,Edtech,,0,Noida,Provides online coding courses,2020,2018,"Navratn Singh, Kamal Pandey",Angel investors
Pine Labs,Fintech,,0,Noida,Retail payment and hardware company,2020,nan,"Lokvir Kapoor, Rajul Garg, Tarun Upaday",Mastercard
Instoried,SaaS,,0,Delhi,Augmented writing platform which improves customer interest and engagement.,2020,nan,Sharmin Ali,"SOSV, Chinaccelerator"
Nupay,Neo-banking,,0,Haryana,"Integrated platform for Receivables and Payables automation, Electronic Invoicing, Reconciliations and Bank payouts",2020,nan,"Neeraj Singh, Alok Arora",Venture Catalysts
LogiNext,Transport Automation,Series B,39000000,nan,"It helps logistics companies to improve internal operations, optimise delivery networks and provide customer service",2020,nan,"Dhruvil Sanghvi, Manisha Raisinghani","Tiger Global, Steadview Capital"
Samosa Singh,Food,Series A,2700000,Bangalore,Offers hygienic Indian Snacks,2020,2016,"Shikhar Veer Singh, Nidhi Singh",She Capital
Crysta,Healthtech,Pre Series A,1403400,Delhi,Offers diagnostic and screening services with regular counselling and clinical data management,2020,2018,,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli"
Eupheus Learning,Edtech,Series A,4300000,New Delhi,"Provides technology-led, subscription-based learning solutions to schools",2020,2017,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Yuj Ventures
Bounce,Automotive and Rentals,Series D,105000000,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020,2014,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital"
Park+,Techonology,,11000000,nan,It is engaged in bringing digitization in parking,2020,nan,Amit Lakhotia,"Sequoia Capital, Matrix Partners India"
Goodmylk,Dairy,Seed Round,400000,Bangalore,Provides Vegan dairy products,2020,2017,Abhay Rangan,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest"
SmartKarrot,SaaS,,1000000,nan,It tracks customers’ real-time digital behaviour,2020,2019,"Prithwi Dasgupta, Arnab Chatterjee",Angel investors
Skylo,IoT,Series B,103000000,nan,Provides affordable and ever present network that connects machines or sensors,2020,2017,Trivedi,SoftBank Group
Tea Trunk,Beverage,,220000,Goa,Global premium tea brand,2020,2013,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",Angel investors
Zoomcar,Transport & Rentals,Series D,30000000,Bangalore,A car rental service platform,2020,2013,"Greg Moran, David Back",Sony Innovation Fund
Mera Cashier,Fintech,Seed Round,250000,Noida,App meant for small and micro businessmen to manage their transactions digitally,2020,2019,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal"
Samya AI,SaaS,Seed Round,6000000,nan,Revenue growth AI startup in the consumer packed goods (CPG) space,2020,2019,"Shailendra Singh, Deepinder Dhingra, Pavan Palety",Sequoia India
Kristal AI,AI,Series A,6000000,nan,Provides Algorithm-based financial services,2020,2016,"Asheesh Chanda, Vineeth Narasimhan",Chiratae Ventures
Invento Robotics,AI Robotics,Seed Round,281300,nan,Known for Mitra Series of Robots,2020,nan,"Balaji Viswanathan, Be Limitless Inc., Zingfin.com, NalandaU","Windrose Capital, ITI Growth Opportunities Venture Fund"
Zimyo,HR tech,,0,Gurugram,Automates everyday HR processes with integrated solutions,2020,2018,"Kumar Mayank, Ajay Kadyan",Yatra Angel Network (YAN)
Sabse Sasta Dukaan,Pharmaceutical,,0,Kolkata,Online pharmacy dealing in medicines,2020,2016,"Anish Agarwal, Anant Jain",Angel investors
Fitphilia,Healthtech,,0,Mumbai,Provides IoT-enabled treadmill,2020,nan,Nirav Patil,Angel investors
Medicus,Healthtech,,12700,Mumbai,AI-based platform that explains and interprets blood tests and medical reports,2020,nan,"Bhavesh Shah, Manav Shah",Angel investors
Monech,Fintech,Seed Round,12700,Mumbai,Automated platform which will help users to take their financial decisions,2020,nan,,Angel investors
Teach Us,Edtech,Seed Round,12700,nan,Educational portal which enables the students to access information related to education at one common platform,2020,nan,,Angel investors
Dealberg,B2B marketplace,,0,Bangalore,Deals in office supplies,2020,nan,Abhishek Emmanuel,Undisclosed
Phenom People,HR tech,Series C,30000000,nan,It redefines the means to search for a job and recruit top talent,2020,2010,Mahe Bayireddi,WestBridge Capital
Extra Edge,Edtech,Pre Series A,700000,Pune,Admission Marketing Automation software for the education industry,2020,nan,Kavita Dhillon,"Sprout Venture Partners, Indian Angel Network"
Capital Quotient,Fintech,,600000,Bangalore,Investment advisor,2020,2016,Sousthav Chakrabarty,Undisclosed
Karfa,Ecommerce,Seed Round,25000,Delhi,It sells products crafted by artisans,2020,nan,Kartikeya Goel,Undisclosed
Gamerji,Gaming,,400000,nan,Esports tournament platform,2020,2019,"Soham Thacker, Varun Gajjar",La Gajjar Group
Bounce,Automotive and Rentals,Series D,97500000,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020,2014,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital"
Zinier,Automation,Series C,90000000,Bangalore,Provides intelligent field service automation,2020,2015,Arka Dhar,ICONIQ Capital
ProEves,Preschool Daycare,Seed Round,507000,Delhi,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers",2020,2016,"Divya Agarwal, Ketika Kapoor",1Crowd
Toddle,,,0,Bengaluru,Collaboration and productivity platform for teachers across the world,2020,nan,"Deepanshu Arora, Parita Parekh",Matrix Partners India
Aesthetic Nutrition,Food diet,Pre Series A,0,nan,Markets and sells chewable dietary supplements,2020,2018,Divij Bajaj,DSG Consumer Partners
Capital Float,Fintech,,15000000,Bangalore,Digital lending,2020,2013,"Gaurav Hinduja, Sashank Rishyasringa","Sequoia Capital, Ribbit Capital, Amazon, Saif Partners"
Ninjacart,B2B Agritech,Series C,10000000,Bangalore,Online grocery delivery platform,2020,2015,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran KK, Vasudevan Chinnathambi","Flipkart India, Singapore-based GEC3"
TechnifyBiz,B2B Agritech,Seed Round,2000000,nan,Online marketplace for non-perishable food items,2020,2017,"Akash Sharma, Abhishek Agarwal","Omnivore, Insitor Impact Asia Fund"
Wysh,E-connect,Series A,2000000,Hyderabad,Celebrity engagement and wishing platform,2020,2019,"Mahesh Gogineni, Varun MS, Manan Maheshwari",Kalaari Capital
Keito,AI,Seed Round,160000,Pune,Enterprise productivity startup,2020,2016,Amal PS,Suma Soft Pvt Ltd
Klub,Fintech,Pre seed round,2000000,nan,Provides growth financing to high-affinity brands,2020,2019,"Anurakt Jain, Ishita Verma",Sequoia Surge
Aadhar,Ecommerce,Seed Round,0,Mumbai,Ayurveda wellness and lifestyle consumer brand,2020,2017,,"Sprout Venture Partners, JITO Angel Network, LetsVenture"
IncubateHub,Tech hub,,0,Bengaluru,Provides platform for Corporates to connect establish brand presence among innovation community,2020,nan,Rajiv Mukherjee,Venture Catalysts
Rage Coffee,FMCG,,0,Delhi,Provides effective Instant Coffee Infused with Natural Brain Vitamins & Plant Based Cognitive Enhancers,2020,nan,Bharat Sethi,Refex Capital
Skilancer,Technology,,0,Noida,Solar module cleaning system [MCS] providers,2020,nan,Neeraj Kumar,Venture Catalysts
Harappa Education,Edtech,,0,New Delhi,Provides online courses on foundational skills,2020,nan,Pramath Raj Sinha,James Murdoch-led Lupa Systems
Rheo,Entertainment,,2000000,nan,Online e-sports streaming and community platform,2020,nan,Gaurav Munjal,"Lightspeed Venture Partners, Sequoia Surge"
Axio Biosolutions,Medtech,Series B,5200000,Bangalore,Medical device manufacturer,2020,nan,Leo Mavely,Omidyar Network India
Techbooze,Consultancy,Series A,15000000,nan,"Business Development, Consulting and Funding facilitator for Startups Enterprise",2020,nan,Mr. Subhashis Kar,Space Capital
PayMart,Fintech,,0,Chandigarh,Provides cardless cash withdrawals through small merchants shops,2020,2015,Amit Narang,"IIM Ahmedabad’s incubator (CIIE.CO),Chandigarh Angels Network"
Testbook,Edtech,Series B,8400000,nan,Helps students prepare online for competitive exams,2020,nan,"Praveen Agrawal, Yadvendar Champawat, Manoj Munna, Abhishek Sagar, Ashutosh Kumar, Narendra Agrawal",Iron Pillar
FabAlley,Ecommerce,,1100000,Noida,Online fashion store,2020,2012,"Tanvi Malik, Shivani Poddar.",Trifecta Capital
HaikuJAM,,,3400000,nan,Creative writing mobile platform,2020,nan,Neer Sharma,"Lightbox. Social Capital, Dunce Capital"
Mamaearth,Ecommerce,Series A,18300000,nan,Online baby and mother care brand,2020,nan,"Ghazal Alagh, Varun Alagh",Sequoia India
Rentomojo,Rental,,2000000,nan,"Furniture, electronics, and appliance-centric consumer leasing platform",2020,2014,Geetansh Bamania,GMO Payment Gateway
Zomato,Foodtech,,150000000,nan,Online food delivery and restaurant discovery platform,2020,nan,Deepinder Goyal,Ant Financial
Byju,Edtech,,200000000,nan,Provides online learning classes,2020,2011,Byju Raveendran,Tiger Global
Generico,Pharmacy,,1400000,Mumbai,Generic medicine focussed retail chain,2020,nan,Siddharth Gadia,Alteria Capital
HighRadius,SaaS,Series B,125000000,Hyderabad,"An AI-based platform, to automate accounts receivables and treasury processes.",2020,2016,Sashi Narahari,ICONIQ Capital
Chai Kings,Beverage,,1000000,Chennai,It offers a range of tea in various flavour,2020,nan,"Jahabar Sadique, Balaji Sadagopan",The Chennai Angels (TCA)
Rivigo,Logistics,Series F,3400000,Gurugram,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",2020,2014,"Deepak Garg, Gazal Kalra",Trifecta Capital
BuildPan,SaaS,Seed Round,0,Indore,"It helps developers to test, integrate and deploy apps",2020,2019,"Sonal Khandelwal, Vaibhav Tiwari","HNIs in India, Japan, and the US"
Shiksha,Edtech,,181000,nan,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,2020,2008,Kanav Sachdeva,Mumbai Angels Network
Super Surfaces,Deisgning,Series A,500000,Hyderabad,A design solution based company,2020,nan,Kumar Varma,Vishnu Reddy
Quicko,Taxation,,280000,Ahmedabad,Online tax planning and filing platform,2020,nan,Vishvajit Sonagara,"Zerodha fintech fund, Rainmatter"
Satin Creditcare,Fintech,,15000000,Gurgaon,A micro finance company,2020,nan,,Austrian Bank
XpressBees,Logistics,,10000000,nan,Provides end to end supply chain solutions,2020,2015,"Supam Maheshwari, Amitava Saha",Alibaba
FarmERP,Agritech,Series A,0,Pune,Smart agriculture management ERP software platform,2020,2001,"Santosh Shinde, Sanjay Borkar",TechnoGen
Wealth Bucket,Fintech,,3000000,nan,An online platform for mutual fund investments,2020,2018,"Himanshu Jain, Pulkit Jain","NorthStar, Vinod Khatumal"
GoMechanic,Automobile Technology,Series B,14700000,Delhi,Find automobile repair and maintenance service providers,2020,2016,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa","Chiratae Ventures, Sequoia Capital, Orios Venture Partners"
Fashor,Fashion,Pre Series A,1000000,Chennai,Women’s fashion and apparel,2020,2017,"Vikram Kankaria, Priyanka Kankaria",Sprout venture partners
Leverage Edu,Edtech,,1500000,Delhi,AI enabled marketplace that provides career guidance,2020,nan,Akshay Chaturvedi,"DSG Consumer Partners, Blume Ventures"
EpiFi,Fintech,Seed Round,13200000,nan,It offers customers with a single interface for all their financial and banking mandates,2020,nan,"Sujith Narayanan, Sumit Gwalani","Sequoia India, Ribbit Capital"
Purplle,Cosmetics,,8000000,Mumbai,Online makeup and beauty products retailer,2020,2012,"Manish Taneja, Rahul Dash",Verlinvest
Shuttl,Transport,Series C,8043000,Delhi,App based bus aggregator serice,2020,2015,"Amit Singh, Deepanshu Malviya",SIG Global India Fund LLP.
Pando,Logitech,Series A,9000000,Chennai,Networked logistics management software,2020,2017,"Jayakrishnan, Abhijeet Manohar",Chiratae Ventures
Unbox Robotics,AI startup,Pre-series A,1200000,Bangalore,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.",2021,2019.0,"Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First"
upGrad,EdTech,,120000000,Mumbai,UpGrad is an online higher education platform.,2021,2015.0,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management"
Lead School,EdTech,Series D,30000000,Mumbai,LEAD School offers technology based school transformation system that assures excellent learning for every child.,2021,2012.0,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital"
Bizongo,B2B E-commerce,Series C,51000000,Mumbai,Bizongo is a business-to-business online marketplace for packaging products.,2021,2015.0,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital"
FypMoney,FinTech,Seed,2000000,Gurugram,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",2021,2021.0,Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal"
Urban Company,Home services,,188000000,New Delhi,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",2021,2014.0,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital
Comofi Medtech,HealthTech,,200000,Bangalore,Comofi Medtech is a healthcare robotics startup.,2021,2018.0,Gururaj KB,"CIIE.CO, KIIT-TBI"
Qube Health,HealthTech,Pre-series A,0,Mumbai,India's Most Respected Workplace Healthcare Management Company,2021,2016.0,Gagan Kapur,Inflection Point Ventures
Vitra.ai,Tech Startup,,0,Bangalore,Vitra.ai is an AI-based video translation platform,2021,2020.0,Akash Nidhi PS,Inflexor Ventures
Taikee,E-commerce,,1000000,Mumbai,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",2021,2010.0,"Nidhi Ramachandran, Sachin Chhabra",
Fitterfly,HealthTech,Pre-series A,3000000,Mumbai,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",2021,2016.0,Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures"
FreeStand,B2B service,,100000,New Delhi,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,2021,2017.0,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park"
MyDentalPlan,Helathcare,Seed,700000,Bangalore,My Dental Plan provides dental care packages and services.,2021,2014.0,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare
Freyr Energy,Renewable Energy,,2000000,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",2021,2014.0,"Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners"
DealShare,E-commerce,,9000000,Jaipur,DealShare is a Social Commerce Startup,2021,2018.0,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital"
Tessolve,Electronics,,40000000,Bangalore,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",2021,1993.0,"P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital
Smart Joules,Renewable Energy,,49000000,New Delhi,Smart Joules is an energy management company.,2021,2014.0,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm"
ORAI,IT startup,Pre-series A,400000,Bangalore,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,2021,2020.0,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures
ixamBee,EdTech,Seed,300000,New Delhi,ixamBee is to provide best online learning experience for preparation of competitive exams.,2021,2016.0,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha"
CoinSwitch Kuber,FinTech,Series B,25000000,Bangalore,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,2021,2017.0,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah"
Razorpay,FinTech,Series E,160000000,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",2021,2014.0,"Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC"
Uable,EdTech,Seed,0,Bangalore,Uable offers role based programmes to empower children to explore different domains.,2021,2020.0,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia"
ZFW Hospitality,Food & Beverages,Pre-seed,150000,New Delhi,Creating a sustainable and scalable cloud kitchen network.,2021,2015.0,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO"
Optimized Electrotech,Aeorspace,Pre-series A,1800000,Ahmadabad,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",2021,2017.0,"Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL
Northern Arc,FinTech,,5000000,Chennai,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,2021,2008.0,Kshama Fernandes,"Kotak Mahindra Bank, FMO"
Chara,Deep Tech,Seed,850000,Bangalore,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",2021,2019.0,"Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital
Sirona Hygiene,HealthTech,Series A,3000000,New Delhi,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,2021,2015.0,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund"
Pristyn Care,HealthTech,Series D,53000000,Gurugram,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,2021,2018.0,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures"
TrulyMadly,Dating,Pre-series A,2000000,New Delhi,Trulymadly is a dating platform that uses a match making algorithm.,2021,2013.0,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor"
Vidyakul,EdTech,Seed,500000,,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,2021,2018.0,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV"
Jambox Games,Gaming,Seed,1100000,Bangalore,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",2021,2021.0,Ravi Vyas,
Miko,Robotics,,6000000,Mumbai,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.",2021,2015.0,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Chiratae Ventures, YourNest Venture Capital"
SuperK,Retail,Seed,800000,"Small Towns, Andhra Pradesh",SuperK is a full-stack solution to empower small format retail stores in India.,2021,2019.0,Neeraj Menta,STRIVE VC
TagZ Foods,Food,Pre-series A,500000,Bangalore,TagZ Foods is a supplier of snacks and food products.,2021,2019.0,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts
Fuel Buddy,Oil and Energy,,1000000,New Delhi,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,2021,2017.0,Aditya Singh,Jaipuria Family Office
M1xchange,FinTech,,10000000,Gurugram,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2021,2017.0,Sundeep Mohindru,Amazon
Spintly,Tech Startup,,500000,Goa,Wireless cloud based access control platform,2021,2017.0,Rohin Parkar,Riso Capital
EF Polymer,AgriTech,,200000,Rajsamand,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,2021,2018.0,Narayan Lal Gurjar,MTG Ventures
boAt,Electronics,,6000000,New Delhi,boAt is a consumer electronics and lifestyle company.,2021,2016.0,"Aman Gupta, Sameer Mehta","Qualcomm Ventures, Warburg Pincus"
TruNativ,Food & Beverages,Seed,0,Mumbai,TruNativ Foods & Beverages Pvt Ltd,2021,2019.0,"Pranav Malhotra, Mamta Malhotra",9Unicorns
iBus,Telecommuncation,,21000000,Bangalore,iBus Networks is an in-building connectivity solutions company,2021,2010.0,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley
Puresh Daily,Milk startup,Seed,100000,Ranchi,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,2021,2019.0,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners"
LearnVern,EdTech,,1000000,Ahmadabad,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,2021,2016.0,"Niral Modi, Aditi Modi",
LimeChat,AI Chatbot,Seed,7500000,"Faridabad, Haryana",Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,2021,2020.0,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma"
Dybo,IT,Seed,100000,Bangalore,Product Visualisation Technology for Commerce,2021,2019.0,Dhawal Jain,Spanache
moEVing,Logistics,Seed,1000000,Gurugram,"Delivering clean, cost-effective and efficient mobility solutions.",2021,2021.0,VIKASH MISHRA,
WeWork India,Hospitality,,26000000,Bangalore,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",2021,2017.0,Karan Virwani,
Solethreads,Fashion,Series A,1000000,Gurugram,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,2021,2018.0,Vikram Iyer,"DSG Consumer Partners, Saama Capital"
Beldara,E-commerce,,7400000,Mumbai,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",2021,2018.0,Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures
CredFlow,FinTech,Seed,2000000,New Delhi,CredFlow provides financial solutions to automate your cashflows.,2021,2020.0,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures"
Do Your Thng,Marketing,,1500000,Gurugram,World's first shared economy platform for digital assets.,2021,2018.0,Ankit Agarwal,"Angelbay Holdings, Faad Network"
Oye Rickshaw,Transportation,,3000000,Gurugram,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,2021,2017.0,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures"
Legitquest,LegalTech,,600000,New Delhi,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,2021,2017.0,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge"
Swiggy,Food delivery,,800000000,Bangalore,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,2021,2014.0,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Carmignac, Falcon Edge Capital"
AntWak,EdTech,Seed,0,Bangalore,AntWak provides a video platform for e-learning service.,2021,2019.0,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman","Vaibhav Domkundwar, Kunal Shah"
PlayShifu,EdTech,Series B,17000000,Bangalore,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,2021,2016.0,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund"
Pitstop,Automotive,Pre-series B,3500000,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2021,2015.0,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture"
